ISBN,書名,作者,出版社,出版日期,封面圖片
9789573338017,聖誕小豬：《哈利波特》作者J.K. 羅琳最新作品！只要還存有一絲希望，沒有東西會永遠喪失。因為愛，讓我們永存不朽！,J.K. 羅琳,謝靜雯,皇冠文化出版有限公司,
9789864799930,看漫畫輕鬆學：網路使用的規則,遠藤美季,原木櫻,小天下,
9789577516176,大家說孔子,岑澎維,財團法人國語日報社,2011-09-10,
9789577517746,成語小劇場：尋找保麗龍【小學生必知】,岑澎維,財團法人國語日報社,2016-05-10,
9789570839807,幽默西遊之六：無臂羅漢拍腳掌,周銳,聯經出版事業股份有限公司,2012-04-18,
9789865251819,烏龍公寓怪房客,賴曉珍,小天下,2021-05-25,
9789577517395,時光小學：爸爸，不住在我家,王文華,財團法人國語日報社,2014-10-09,
9786263051225,神話實驗室2：天啊，這樣也算是英雄？,王文華,親子天下（親子教養童書）,2021-11-30,
9789573336921,哈利波特(5)鳳凰會的密令【繁體中文版20週年紀念】,J.K.羅琳,吳俊宏、李佳姍、林靜華、莊靜君、彭倩文、羅源祥,皇冠文化出版有限公司,
9789864794638,神奇樹屋小百科10：古羅馬與龐貝城（新版）,瑪麗．波．奧斯本|娜塔莉．波．博以斯,小天下,2018-08-22,
9789864502011,台灣炒飯王：少年總鋪師2（增訂新版）,鄭宗弦,九歌出版社有限公司,2018-06-28,
9789864794652,神奇樹屋小百科12：鐵達尼號（新版）,瑪麗．波．奧斯本|威爾．奧斯本,小天下,2018-08-22,
9789575036669,李崇建X甘耀明故事想想2：藍眼叔叔,李崇建．甘耀明,親子天下（親子教養童書）,2022-11-30,
9789575035525,最有梗的單位教室：公尺君與他的單位小夥伴,上谷夫婦,李沛栩,親子天下（親子教養童書）,
9786263052581,快閃貓生活謎語童話2：滾滾豬大富翁,顏志豪,親子天下（親子教養童書）,2022-06-30,
9789575036225,泡泡精靈1：尋找魔力星星果,嚴淑女,親子天下（親子教養童書）,2020-06-30,
9786263054455,字的傳奇5：騎神馬闖天關,林世仁,親子天下（親子教養童書）,2023-03-30,
9786263612693,哆啦A夢學習大進擊1：學習方法通用機,藤子．F．不二雄,黃薇嬪,遠流出版事業股份有限公司,
9789864791170,少年讀西遊記2：從風到火的考驗,張嘉驊,小天下,2020-09-28,
9789578208506,18個童話小魔怪,風車圖書出版有限公司,繁體書,Not Found,
9789865074029,妖怪出租（4）：妖怪之所以成為妖怪,廣?玲子,緋華璃,采實文化事業股份有限公司,
9789577515872,風吹來的瑪麗．包萍,P. L. 崔弗絲,吳宜潔,財團法人國語日報社,
9789864794577,神奇樹屋小百科（15）：達文西,瑪麗．波．奧斯本、娜塔莉．波．博以斯,劉藍玉,小天下,
9789864794553,神奇樹屋小百科17：企鵝與南極,瑪麗．波．奧斯本 (Mary Pope Osborne,Not Found,劉藍玉,
9789865076795,邏輯偵探小揭：七大不可思議謎團-注音版,藤田遼,采實文化,2022-02-10,
9789866544743,用輪椅飛舞的女孩,王洛夫、賴玉敏,小兵出版社有限公司,2011-08-30,
9789576582943,名偵探柯南科學推理教室（10）：救命的防災知識,青山剛昌,游韻馨,三采文化股份有限公司,
9789573287469,屁屁偵探讀本番外篇：咖哩香料事件,Troll,張東君,遠流出版事業股份有限公司,
9789573288701,屁屁偵探讀本（9?）：幸運貓落到誰手上！【限量版】,Troll,張東君,遠流出版事業股份有限公司,
9789573280316,屁屁偵探讀本：紫衣夫人的暗號事件,Troll,張東君,遠流出版事業股份有限公司,
9789867158321,十二聲笑,哲也,親子天下（親子教養童書）,2005-12-28,
9786263052291,機器人宅急便1：什麼都可以寄,郭?婷,親子天下（親子教養童書）,2022-06-30,
9789865546274,我的AI同學1︰AI的發展史,陳靜芬,康軒文教事業股份有限公司,2021-03-19,
9789570851878,台灣歷史故事（1）（二版）,王淑芬,聯經出版事業股份有限公司,2018-09-28,
9789575214197,翻轉作文力：諺語好好玩,東雨文化編輯部,東雨文化,2020-10-22,
9789869549165,火龍家庭故事集（新版）,哲也,親子天下（親子教養童書）,2018-01-04,
9786269508310,怪俠空古力1：起笑洋芋片,顏志豪,巴巴文化,2022-02-24,
9789863846444,年糕奶奶@便便變????(2)：網紅排行榜的祕密,姜孝美,金鵡妍,野人文化股份有限公司,
9789570838565,幽默西遊（3）：螢光金甲蒙面人,周銳,聯經出版事業股份有限公司,2011-08-26,
9789575216108,到底買？不買？教你如何決定！：小學生的聰明消費學,權才媛,黃譯嫺,東雨文化,
9789570853476,台灣歷史故事2：披荊斬棘的時代（二版）,張淑美,聯經出版事業股份有限公司,2019-07-17,
9789579250566,故事中的科學：寓言中的科學,小牛頓編輯團隊,小牛頓科學教育有限公司,2019-07-01,
9789579250504,故事中的科學：童話中的科學（2）,小牛頓編輯團隊,小牛頓科學教育有限公司,2019-07-01,
